Id,SalePrice
1461,127281.1308769629
1462,152812.23557138408
1463,178699.41425691856
1464,188938.5370651632
1465,195969.48338090527
1466,183424.6023172675
1467,164299.13529275323
1468,172524.04277806866
1469,175500.612836211
1470,118494.78762950364
1471,200462.97097981197
1472,93194.7259077449
1473,101714.6308474332
1474,148301.38320455723
1475,121750.46920182445
1476,366581.24624261574
1477,246246.24181841812
1478,290175.0174152822
1479,234498.07858992252
1480,440073.75948348315
1481,297931.55343497405
1482,201105.18219876222
1483,191592.6256274364
1484,172390.35835737895
1485,171059.15658111247
1486,213157.00931968467
1487,329488.4159663711
1488,229395.73539488707
1489,214955.25760411014
1490,213701.5632411126
1491,186009.97576492102
1492,101679.40247198756
1493,180048.83157837202
1494,277399.62273703894
1495,290413.99967104907
1496,221386.7704998588
1497,177288.5854411368
1498,153624.09021710933
1499,151408.7793354241
1500,160494.4341622935
1501,166694.61706544162
1502,157141.14570088786
1503,279453.04606343055
1504,228286.63409991708
1505,209971.6875595786
1506,179715.2459674722
1507,250589.73619203377
1508,195606.98175925465
1509,157398.15274076682
1510,151196.9513986829
1511,153347.75596757542
1512,163182.87113175594
1513,146576.07151114635
1514,161001.23918456165
1515,185508.46766864395
1516,159918.565315811
1517,146140.9316283164
1518,131363.88823386427
1519,232475.06146321952
1520,137125.87496906216
1521,142616.92853609036
1522,161395.06848360863
1523,107358.54999160724
1524,115493.69709156334
1525,125730.76491511424
1526,126340.51929706278
1527,115294.00703060778
1528,129059.43660284135
1529,145883.29223163053
1530,163107.39366459608
1531,123618.3668339742
1532,100520.53496666989
1533,131189.13900583208
1534,116551.64243778463
1535,140677.3834136322
1536,121125.6173358628
1537,91097.76367245504
1538,144956.1225204632
1539,190333.12544797035
1540,115272.46347720225
1541,137033.7222471125
1542,134908.3395604515
1543,184574.2363361442
1544,84346.76825940232
1545,109078.8789654304
1546,128435.83405238664
1547,133806.26550419335
1548,121759.94406314
1549,117576.65835044622
1550,138150.26631522106
1551,116224.28806141761
1552,136381.79888367164
1553,127554.30795108118
1554,121264.03942169361
1555,172796.10958900492
1556,99730.7913316827
1557,116604.87904683493
1558,94283.95060627835
1559,103114.18822774693
1560,139771.62295177905
1561,145679.0361987271
1562,130224.25400360739
1563,125194.70912789868
1564,168095.16205797618
